id;start_date;end_date;language
1;2020-07-21T04:47:49;2020-07-21T02:38:04;SPANISH
2;2020-07-20T09:38:00;2020-07-21T04:42:25;SPANISH
3;2020-07-21T00:33:19;2020-07-20T11:07:28;FRENCH
4;2020-07-20T15:50:50;2020-07-21T03:22:16;FRENCH
5;2020-07-21T01:21:08;2020-07-21T06:08:07;FRENCH
6;2020-07-20T19:13:29;2020-07-21T07:21:43;FRENCH
7;2020-07-20T20:58:49;2020-07-20T14:49:40;FRENCH
8;2020-07-20T19:55:02;2020-07-21T06:11:10;SPANISH
9;2020-07-20T18:36:11;2020-07-20T15:17:34;SPANISH
10;2020-07-21T02:48:15;2020-07-20T13:22:45;SPANISH
